Name,Category 1,Nationality,Description,,
Steven Spielberg,Cinema/Humour,Other,réalisateur ,,
Sylvester Stallone,Cinema/Humour,Other,acteur (Rocky),,
Thierry Lhermitte,Cinema/Humour,France,acteur,,
Thomas Ngijol,Cinema/Humour,France,humoriste et acteur,,
Timothée Chalamet,Cinema/Humour,Other,acteur ,,
Tobey Maguire,Cinema/Humour,Other,acteur (Spider-man),,
Tom Cruise,Cinema/Humour,Other,acteur ,,
Tom Hanks,Cinema/Humour,Other,acteur,,
Tom Hardy,Cinema/Humour,Other,acteur,,
Tom Holland (acteur),Cinema/Humour,Other,,,
Valérie Lemercier,Cinema/Humour,France,humoriste et actrice,,
Vanessa Paradis,Cinema/Humour,France,actrice et chanteuse,,
Vin Diesel,Cinema/Humour,Other,acteur (Fast and Furious),,
Vincent Cassel,Cinema/Humour,France,acteur,,
Vincent Lacoste,Cinema/Humour,France,acteur,,
Vincent Lindon,Cinema/Humour,France,acteur,,
Virginie Efira,Cinema/Humour,France,actrice,,
Will Smith,Cinema/Humour,Other ,acteur,,
Zendaya,Cinema/Humour,Other,actrice (Dune),,
Mylène Farmer,Musique,France,chanteuse,,
50 Cent,Musique,Other,rappeur,,
ABBA,Musique,Other,groupe de musique,,
AC/DC,Musique,Other,groupe de musique,,
Adele,Musique,Other,chanteuse,,
Amy Winehouse,Musique,Other,chanteuse ,,
Antonio Vivaldi,Musique,Other,compositeur,,
Ariana Grande,Musique,Other,chanteuse,,
Avicii,Musique,Other,DJ,,
Aya Nakamura,Musique,France,chanteuse ,,
Beyoncé,Musique,Other,chanteuse,,
Bigflo et Oli,Musique,France,groupe de musique,,
Billie Eilish,Musique,Other,chanteuse,,
Bob Dylan,Musique,Other,chanteur,,
Bob Marley,Musique,Other,chanteur,,
Bob Sinclar,Musique,France,DJ,,
Bono,Musique,Other,chanteur (U2),,
Booba,Musique,France,rappeur,,
Britney Spears,Musique,Other,chanteuse ,,
Bruce Springsteen,Musique,Other,chanteur,,
Bruno Mars,Musique,Other,chanteur,,
BTS (groupe),Musique,Other,groupe de musique (K-pop),,
Calogero,Musique,France,chanteur,,
Calvin Harris,Musique,Other,DJ,,
Carla Bruni,Musique,France,chanteuse,,
Céline Dion,Musique,Other,chanteuse,,
Charles Aznavour,Musique,France,chanteur,,
Claude François,Musique,France,chanteur,,
Coldplay,Musique,Other,groupe de musique,,
Daft Punk,Musique,France,DJ,,
Dalida,Musique,France,chanteuse,,
Daniel Balavoine,Musique,France,chanteur,,
Dave (chanteur),Musique,France,,,
David Bowie,Musique,Other,chanteur,,
David Guetta,Musique,France,DJ,,
Dolly Parton,Musique,Other,chanteuse,,
Drake (rappeur),Musique,Other,,,
Dua Lipa,Musique,Other,chanteuse,,
Ed Sheeran,Musique,Other,chanteur,,
Eddy de Pretto,Musique,France,chanteur,,
Édith Piaf,Musique,France,chanteuse,,
Elton John,Musique,Other,chanteur,,
Elvis Presley,Musique,Other,chanteur,,
Eminem,Musique,Other,rappeur,,
Enrique Iglesias,Musique,Other,chanteur,,
Florent Pagny,Musique,France,chanteur,,
Francis Cabrel,Musique,France,chanteur,,
Frank Sinatra,Musique,Other,chanteur,,
Freddie Mercury,Musique,Other,chanteur (Queen),,
Frédéric Chopin,Musique,Other,compositeur,,
Garou,Musique,Other,chanteur,,
Gims,Musique,France,chanteur,,
Grand Corps Malade,Musique,France,chanteur,,
Hans Zimmer,Musique,Other,compositeur (cinéma),,
Harry Styles,Musique,Other,chanteur,,
Hélène Ségara,Musique,France,chanteuse,,
Jacques Brel,Musique,France,chanteur,,
Jay-Z,Musique,France,rappeur,,
Jean-Jacques Goldman,Musique,France,chanteur/compositeur,,
Jean-Sébastien Bach,Musique,Other,compositeur,,
Jenifer,Musique,France,chanteuse,,
Jennifer Lopez,Musique,Other,chanteuse et actrice,,
Jérémy Frérot,Musique,France,chanteur,,
Jimi Hendrix,Musique,Other,guitariste,,
John Legend,Musique,Other,chanteur,,
John Lennon,Musique,Other,chanteur (Beatles),,
Johnny Cash,Musique,Other,chanteur,,
Johnny Hallyday,Musique,France,chanteur,,
Jul (rappeur),Musique,France,,,
Julien Clerc,Musique,France,chanteur,,
Julien Doré,Musique,France,chanteur,,
Juliette Armanet,Musique,France,chanteuse,,
Julio Iglesias,Musique,Other,chanteur,,
Justin Bieber,Musique,Other,chanteur,,
Justin Timberlake,Musique,Other,chanteur,,
Kanye West,Musique,Other,rappeur,,
Katy Perry,Musique,Other,chanteuse,,
Kendji Girac,Musique,France,chanteur,,
Kendrick Lamar,Musique,Other,rappeur,,
Kylie Minogue,Musique,Other,chanteuse,,
Kurt Cobain,Musique,Other,chanteur (Nirvana),,
Lady Gaga,Musique,Other,chanteuse et actrice,,
Lara Fabian,Musique,France,chanteuse,,
Lil Wayne,Musique,Other,rappeur,,
Lomepal,Musique,France,rappeur,,
Louane,Musique,France,chanteuse et actrice,,
Ludwig van Beethoven,Musique,Other,compositeur,,
Madonna,Musique,Other,chanteuse,,
Manu Chao,Musique,France,chanteur,,
Mariah Carey,Musique,Other,chanteuse,,
Martin Garrix,Musique,Other,DJ,,
Martin Solveig,Musique,France,DJ,,
Matthieu Chedid,Musique,France,chanteur et compositeur,,
MC Solaar,Musique,France,rappeur,,
Metallica,Musique,Other,groupe de musique,,
Michael Jackson,Musique,Other,chanteur,,
Michel Sardou,Musique,France,chanteur,,
Nekfeu,Musique,France,rappeur,,
Nicki Minaj,Musique,Other,chanteuse,,
Nicola Sirkis,Musique,France,chanteur (Indochine),,
Ninho,Musique,France,rappeur,,
Olivia Rodrigo,Musique,Other,chanteuse,,
Orelsan,Musique,France,rappeur,,
Pascal Obispo,Musique,France,chanteur,,
Patrick Bruel,Musique,France,chanteur et acteur,,
Pharrell Williams,Musique,Other,chanteur et compositeur,,
Phil Collins,Musique,Other,chanteur et batteur,,
Pierre Garnier (chanteur),Musique,France,,,
Pink (chanteuse),Musique,Other,,,
Pink Floyd,Musique,Other,groupe de musique,,
PNL (groupe),Musique,France,,,
