Name,Category 1,Nationality,Description,,
Mohandas Karamchand Gandhi,Politique,Other,homme politique,,
Napoléon Ier,Politique,France,Empereur,,
Nelson Mandela,Politique,Other,ancien président,,
Nicolas Hulot,Politique,France,ancien ministre,,
Nicolas Sarkozy,Politique,France,ancien président,,
Ségolène Royal,Politique,France,ancienne ministre,,
Shinzō Abe,Politique,Other,ancien premier ministre,,
Simone Veil,Politique,France,ancienne ministre,,
Valérie Pécresse,Politique,France,femme politique,,
Valéry Giscard d'Estaing,Politique,France,ancien président,,
Vladimir Poutine,Politique,Other,Président,,
Volodymyr Zelensky,Politique,Other,président,,
William de Galles,Politique,Other,Prince,,
Winston Churchill,Politique,Other,ancien premier ministre,,
Xi Jinping,Politique,Other,président,,
Yannick Jadot,Politique,France,député,,
Alain Bernard,Sport,France,nageur,,
Alain Prost,Sport,France,pilote de F1,,
Alberto Contador,Sport,Other,cycliste,,
Alexander Zverev,Sport,Other,tennisman,,
Alexis Lebrun,Sport,France,pongiste,,
Alexis Pinturault,Sport,France,skieur,,
Allen Iverson,Sport,Other,basketteur,,
Amélie Mauresmo,Sport,France,tenniswoman,,
Andre Agassi,Sport,Other,tennisman,,
Andrés Iniesta,Sport,Other,footballeur,,
Andy Murray,Sport,Other,tennisman,,
Antoine Dupont,Sport,France,rugbyman,,
Antoine Griezmann,Sport,France,footballeur,,
Armand Duplantis,Sport,Other,sauteur à la perche,,
Aryna Sabalenka,Sport,Other,tenniswoman,,
Ayrton Senna,Sport,Other,pilote de F1,,
Benjamin Pavard,Sport,France,footballeur,,
Benoît Paire,Sport,France,tennisman,,
Bernard Hinault,Sport,France,cycliste,,
Bernard Laporte,Sport,France,entraineur de rugby,,
Bixente Lizarazu,Sport,France,footballeur,,
Björn Borg,Sport,Other,tennisman,,
Boris Becker,Sport,Other,tennisman,,
Boris Diaw,Sport,France,basketteur,,
Camille Lacourt,Sport,France,nageur,,
Carl Lewis,Sport,Other,sprinteur,,
Carlos Alcaraz (tennis),Sport,Other,tennisman,,
Caroline Garcia,Sport,France,tenniswoman,,
Charles Leclerc (pilote automobile),Sport,Other,pilote de F1,,
Christophe Lemaitre,Sport,France,sprinteur,,
Christopher Froome,Sport,Other,cycliste,,
Clarisse Agbegnenou,Sport,France,judokate,,
Claude Makélélé,Sport,France,footballeur,,
Conor McGregor,Sport,Other,combattant de MMA,,
Cristiano Ronaldo,Sport,Other,footballeur,,
Dan Carter,Sport,Other,rugbyman,,
Daniel Ricciardo,Sport,Other,pilote de F1,,
Daniil Medvedev,Sport,Other,tennisman,,
David Beckham,Sport,Other,footballeur,,
David Douillet,Sport,France,judoka,,
David Gaudu,Sport,France,cycliste,,
David Trezeguet,Sport,France,footballeur,,
Didier Deschamps,Sport,France,joueur et entraineur de football,,
Didier Drogba,Sport,Other,footballeur,,
Diego Maradona,Sport,Other,footballeur,,
Dominic Thiem,Sport,Other,tennisman,,
Eddy Merckx,Sport,Other,cycliste,,
